gene,gene_ID,pathway,dose,type_of_radiation,tissue_cell_line,time_after_irradiation
SOST,50964,Wnt signaling pathway,8 Gy,X-rays,pancreatic cancer cell line,4 h
SERPINF1,5176,Wnt signaling pathway,9 Gy,protons,breast adenocarcinoma cells,24 h
MYH10,4628,,2 Gy,X-rays,prostate cancer cell line,8 h
APOBEC3H,164668,,5 Gy,γ-rays,T-lymphoid cell line,12 h
APOBEC3H,164668,,5 Gy,γ-rays,T-lymphoid cell line,24 h
APOBEC3H,164668,,5 Gy,γ-rays,T-lymphoid cell line,48 h
APOBEC3H,164668,,5 Gy,γ-rays,T-lymphoid cell line,6 h
APOBEC3H,164668,,9 Gy,protons,breast adenocarcinoma cells,24 h
APOBEC3G,60489,,9 Gy,protons,TNBC cell line,24 h
APOBEC3C,27350,,5 Gy,γ-rays,T-lymphoid cell line,12 h
APOBEC3C,27350,,5 Gy,γ-rays,T-lymphoid cell line,24 h
APOBEC3C,27350,,5 Gy,γ-rays,T-lymphoid cell line,48 h
APOBEC3C,27350,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ACTG2,72,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ACTG2,72,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ACTG2,72,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ACTG2,72,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ACTG2,72,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ACTA2,59,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ACTA2,59,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ACTA2,59,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ACTA2,59,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ACTA2,59,,9 Gy,protons,breast adenocarcinoma cells,24 h
CHST9,83539,,9 Gy,protons,TNBC cell line,24 h
SSX4B,548313,,9 Gy,protons,TNBC cell line,24 h
BAIAP3,8938,,9 Gy,protons,TNBC cell line,24 h
NR4A3,8013,,8 Gy,X-rays,pancreatic cancer cell line,4 h
TLR9,54106,Toll-like receptor signaling pathway,9 Gy,protons,breast adenocarcinoma cells,24 h
CTTN,2017,,5 Gy,γ-rays,T-lymphoid cell line,12 h
CTTN,2017,,5 Gy,γ-rays,T-lymphoid cell line,24 h
CTTN,2017,,5 Gy,γ-rays,T-lymphoid cell line,3 h
CTTN,2017,,5 Gy,γ-rays,T-lymphoid cell line,48 h
CTTN,2017,,5 Gy,γ-rays,T-lymphoid cell line,6 h
DUOX2,50506,,9 Gy,protons,breast adenocarcinoma cells,24 h
ALPP,250,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ALPP,250,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ALPP,250,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ALPP,250,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ALPP,250,,5 Gy,γ-rays,T-lymphoid cell line,6 h
RUNX3,864,,5 Gy,γ-rays,T-lymphoid cell line,12 h
RUNX3,864,,5 Gy,γ-rays,T-lymphoid cell line,24 h
RUNX3,864,,5 Gy,γ-rays,T-lymphoid cell line,3 h
RUNX3,864,,5 Gy,γ-rays,T-lymphoid cell line,48 h
RUNX3,864,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ID2,3398,TGF-beta signaling pathway,9 Gy,protons,TNBC cell line,24 h
FNTA,2339,,9 Gy,protons,TNBC cell line,24 h
TAS2R10,50839,,5 Gy,γ-rays,T-lymphoid cell line,12 h
TAS2R10,50839,,5 Gy,γ-rays,T-lymphoid cell line,24 h
TAS2R10,50839,,5 Gy,γ-rays,T-lymphoid cell line,48 h
TAS2R10,50839,,5 Gy,γ-rays,T-lymphoid cell line,6 h
SRSF4,6429,,9 Gy,protons,TNBC cell line,24 h
HSPA6,3310,,8 Gy,X-rays,pancreatic cancer cell line,4 h
BEAN1,146227,,9 Gy,protons,breast adenocarcinoma cells,24 h
SPTLC1,10558,,5 Gy,γ-rays,T-lymphoid cell line,12 h
SPTLC1,10558,,5 Gy,γ-rays,T-lymphoid cell line,24 h
SPTLC1,10558,,5 Gy,γ-rays,T-lymphoid cell line,3 h
SPTLC1,10558,,5 Gy,γ-rays,T-lymphoid cell line,48 h
SPTLC1,10558,,5 Gy,γ-rays,T-lymphoid cell line,6 h
STX11,8676,,9 Gy,protons,TNBC cell line,24 h
PAX6,5080,Signaling pathways regulating pluripotency of stem cells,9 Gy,protons,TNBC cell line,24 h
POLR3B,55703,,5 Gy,γ-rays,T-lymphoid cell line,12 h
POLR3B,55703,,5 Gy,γ-rays,T-lymphoid cell line,24 h
POLR3B,55703,,5 Gy,γ-rays,T-lymphoid cell line,3 h
POLR3B,55703,,5 Gy,γ-rays,T-lymphoid cell line,48 h
POLR3B,55703,,5 Gy,γ-rays,T-lymphoid cell line,6 h
TOB1,10140,,5 Gy,γ-rays,T-lymphoid cell line,12 h
TOB1,10140,,5 Gy,γ-rays,T-lymphoid cell line,24 h
TOB1,10140,,5 Gy,γ-rays,T-lymphoid cell line,3 h
TOB1,10140,,5 Gy,γ-rays,T-lymphoid cell line,48 h
TOB1,10140,,5 Gy,γ-rays,T-lymphoid cell line,6 h
BTG2,7832,,5 Gy,γ-rays,T-lymphoid cell line,12 h
BTG2,7832,,5 Gy,γ-rays,T-lymphoid cell line,24 h
BTG2,7832,,5 Gy,γ-rays,T-lymphoid cell line,48 h
BTG2,7832,,5 Gy,γ-rays,T-lymphoid cell line,6 h
FBLL1,345630,,9 Gy,protons,breast adenocarcinoma cells,24 h
RETSAT,54884,,5 Gy,γ-rays,T-lymphoid cell line,12 h
RETSAT,54884,,5 Gy,γ-rays,T-lymphoid cell line,24 h
RETSAT,54884,,5 Gy,γ-rays,T-lymphoid cell line,3 h
RETSAT,54884,,5 Gy,γ-rays,T-lymphoid cell line,48 h
RETSAT,54884,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ARHGEF7,8874,,9 Gy,protons,TNBC cell line,24 h
TBK1,29110,Ras signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,12 h
TBK1,29110,Ras signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,24 h
TBK1,29110,Ras signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,48 h
TBK1,29110,Ras signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,6 h
RGL1,23179,Ras signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,12 h
RGL1,23179,Ras signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,24 h
RGL1,23179,Ras signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,3 h
RGL1,23179,Ras signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,48 h
RGL1,23179,Ras signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,6 h
GAB2,9846,Ras signaling pathway,2 Gy,X-rays,prostate cancer cell line,8 h
SIPA1L2,57568,Rap1 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,12 h
SIPA1L2,57568,Rap1 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,24 h
SIPA1L2,57568,Rap1 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,48 h
LPAR3,23566,Rap1 signaling pathway,9 Gy,protons,TNBC cell line,24 h
GNAO1,2775,Rap1 signaling pathway,9 Gy,protons,breast adenocarcinoma cells,24 h
DPYS,1807,,5 Gy,γ-rays,T-lymphoid cell line,12 h
DPYS,1807,,5 Gy,γ-rays,T-lymphoid cell line,24 h
DPYS,1807,,5 Gy,γ-rays,T-lymphoid cell line,3 h
DPYS,1807,,5 Gy,γ-rays,T-lymphoid cell line,48 h
DPYS,1807,,5 Gy,γ-rays,T-lymphoid cell line,6 h
PDE4D,5144,,5 Gy,γ-rays,T-lymphoid cell line,12 h
PDE4D,5144,,5 Gy,γ-rays,T-lymphoid cell line,24 h
PDE4D,5144,,5 Gy,γ-rays,T-lymphoid cell line,48 h
PDE4D,5144,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ENTPD1,953,,9 Gy,protons,breast adenocarcinoma cells,24 h
ANK1,286,,9 Gy,protons,breast adenocarcinoma cells,24 h
PPP1R15A,23645,,8 Gy,X-rays,pancreatic cancer cell line,4 h
COL8A2,1296,,9 Gy,protons,TNBC cell line,24 h
IFNG,3458,,9 Gy,protons,TNBC cell line,72 h
CH25H,9023,,9 Gy,protons,TNBC cell line,24 h
PLIN5,440503,PPAR signaling pathway,9 Gy,protons,TNBC cell line,24 h
L3MBTL3,84456,,9 Gy,protons,breast adenocarcinoma cells,24 h
BBC3,27113,,9 Gy,protons,breast adenocarcinoma cells,24 h
TOP2B,7155,,2 Gy,X-rays,prostate cancer cell line,8 h
REV3L,5980,,5 Gy,γ-rays,T-lymphoid cell line,12 h
REV3L,5980,,5 Gy,γ-rays,T-lymphoid cell line,12 h
REV3L,5980,,5 Gy,γ-rays,T-lymphoid cell line,24 h
REV3L,5980,,5 Gy,γ-rays,T-lymphoid cell line,24 h
REV3L,5980,,5 Gy,γ-rays,T-lymphoid cell line,48 h
REV3L,5980,,5 Gy,γ-rays,T-lymphoid cell line,48 h
REV3L,5980,,5 Gy,γ-rays,T-lymphoid cell line,6 h
REV3L,5980,,5 Gy,γ-rays,T-lymphoid cell line,6 h
POLH,5429,,5 Gy,γ-rays,T-lymphoid cell line,12 h
POLH,5429,,5 Gy,γ-rays,T-lymphoid cell line,24 h
POLH,5429,,5 Gy,γ-rays,T-lymphoid cell line,3 h
POLH,5429,,5 Gy,γ-rays,T-lymphoid cell line,48 h
POLH,5429,,5 Gy,γ-rays,T-lymphoid cell line,6 h
FAS,355,,5 Gy,γ-rays,T-lymphoid cell line,12 h
FAS,355,,5 Gy,γ-rays,T-lymphoid cell line,24 h
FAS,355,,5 Gy,γ-rays,T-lymphoid cell line,3 h
FAS,355,,5 Gy,γ-rays,T-lymphoid cell line,48 h
FAS,355,,5 Gy,γ-rays,T-lymphoid cell line,6 h
FAS,355,,9 Gy,protons,breast adenocarcinoma cells,24 h
MYB,4602,PI3K-Akt signaling pathway,9 Gy,protons,TNBC cell line,24 h
LAMC1,3915,PI3K-Akt signaling pathway,2 Gy,X-rays,prostate cancer cell line,8 h
FN1,2335,PI3K-Akt signaling pathway,2 Gy,X-rays,prostate cancer cell line,8 h
COL9A3,1299,PI3K-Akt signaling pathway,9 Gy,protons,TNBC cell line,24 h
COL4A6,1288,PI3K-Akt signaling pathway,9 Gy,protons,TNBC cell line,24 h
MRC2,9902,,9 Gy,protons,breast adenocarcinoma cells,24 h
DYNC1I1,1780,,9 Gy,protons,TNBC cell line,24 h
CROT,54677,,5 Gy,γ-rays,T-lymphoid cell line,12 h
CROT,54677,,5 Gy,γ-rays,T-lymphoid cell line,24 h
CROT,54677,,5 Gy,γ-rays,T-lymphoid cell line,3 h
CROT,54677,,5 Gy,γ-rays,T-lymphoid cell line,48 h
CROT,54677,,5 Gy,γ-rays,T-lymphoid cell line,6 h
PIM2,11040,,5 Gy,γ-rays,T-lymphoid cell line,12 h
PIM2,11040,,5 Gy,γ-rays,T-lymphoid cell line,24 h
PIM2,11040,,5 Gy,γ-rays,T-lymphoid cell line,3 h
PIM2,11040,,5 Gy,γ-rays,T-lymphoid cell line,48 h
PIM2,11040,,5 Gy,γ-rays,T-lymphoid cell line,6 h
WNK1,65125,,5 Gy,γ-rays,T-lymphoid cell line,12 h
WNK1,65125,,5 Gy,γ-rays,T-lymphoid cell line,24 h
WNK1,65125,,5 Gy,γ-rays,T-lymphoid cell line,3 h
WNK1,65125,,5 Gy,γ-rays,T-lymphoid cell line,48 h
WNK1,65125,,5 Gy,γ-rays,T-lymphoid cell line,6 h
MMP15,4324,,9 Gy,protons,TNBC cell line,24 h
PANK3,79646,,9 Gy,protons,TNBC cell line,24 h
ZMAT3,64393,p53 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,12 h
ZMAT3,64393,p53 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,12 h
ZMAT3,64393,p53 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,24 h
ZMAT3,64393,p53 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,24 h
ZMAT3,64393,p53 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,3 h
ZMAT3,64393,p53 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,3 h
ZMAT3,64393,p53 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,48 h
ZMAT3,64393,p53 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,48 h
ZMAT3,64393,p53 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,6 h
ZMAT3,64393,p53 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,6 h
ZMAT3,64393,p53 signaling pathway,9 Gy,protons,breast adenocarcinoma cells,24 h
SESN1,27244,p53 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,12 h
SESN1,27244,p53 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,24 h
SESN1,27244,p53 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,3 h
SESN1,27244,p53 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,48 h
SESN1,27244,p53 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,6 h
SESN1,27244,p53 signaling pathway,9 Gy,protons,breast adenocarcinoma cells,24 h
TP53I3,9540,p53 signaling pathway,0.5 Gy,γ-rays,immortalized B lymphocytes,24 h
TP53I3,9540,p53 signaling pathway,3 Gy,γ-rays,immortalized B lymphocytes,24 h
TP53I3,9540,p53 signaling pathway,8 Gy,γ-rays,immortalized B lymphocytes,24 h
PPM1D,8493,p53 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,12 h
PPM1D,8493,p53 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,24 h
PPM1D,8493,p53 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,3 h
PPM1D,8493,p53 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,48 h
PPM1D,8493,p53 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,6 h
ATP6V0A4,50617,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ATP6V0A4,50617,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ATP6V0A4,50617,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ATP6V0A4,50617,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ATP6V0A4,50617,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ATP6V1C1,528,,9 Gy,protons,breast adenocarcinoma cells,24 h
STAR,6770,,5 Gy,γ-rays,T-lymphoid cell line,12 h
STAR,6770,,5 Gy,γ-rays,T-lymphoid cell line,24 h
STAR,6770,,5 Gy,γ-rays,T-lymphoid cell line,3 h
STAR,6770,,5 Gy,γ-rays,T-lymphoid cell line,48 h
STAR,6770,,5 Gy,γ-rays,T-lymphoid cell line,6 h
LILRB3,11025,,8 Gy,X-rays,pancreatic cancer cell line,4 h
FOSB,2354,,8 Gy,X-rays,pancreatic cancer cell line,4 h
FOSB,2354,,9 Gy,protons,TNBC cell line,24 h
SPDYE3,441272,,9 Gy,protons,TNBC cell line,24 h
OR2T5,401993,,9 Gy,protons,TNBC cell line,24 h
OR2W3,343171,,9 Gy,protons,breast adenocarcinoma cells,24 h
OR10H3,26532,,9 Gy,protons,breast adenocarcinoma cells,24 h
XPC,7508,,5 Gy,γ-rays,T-lymphoid cell line,12 h
XPC,7508,,5 Gy,γ-rays,T-lymphoid cell line,24 h
XPC,7508,,5 Gy,γ-rays,T-lymphoid cell line,3 h
XPC,7508,,5 Gy,γ-rays,T-lymphoid cell line,48 h
XPC,7508,,5 Gy,γ-rays,T-lymphoid cell line,6 h
DDB2,1643,,5 Gy,γ-rays,T-lymphoid cell line,12 h
DDB2,1643,,5 Gy,γ-rays,T-lymphoid cell line,24 h
DDB2,1643,,5 Gy,γ-rays,T-lymphoid cell line,3 h
DDB2,1643,,5 Gy,γ-rays,T-lymphoid cell line,48 h
DDB2,1643,,5 Gy,γ-rays,T-lymphoid cell line,6 h
DTX1,1840,Notch signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,12 h
DTX1,1840,Notch signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,24 h
DTX1,1840,Notch signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,3 h
DTX1,1840,Notch signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,48 h
DTX1,1840,Notch signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,6 h
ANTXR2,118429,NOD-like receptor signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,12 h
ANTXR2,118429,NOD-like receptor signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,24 h
ANTXR2,118429,NOD-like receptor signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,3 h
ANTXR2,118429,NOD-like receptor signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,48 h
ANTXR2,118429,NOD-like receptor signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,6 h
CA9,768,,5 Gy,γ-rays,T-lymphoid cell line,12 h
CA9,768,,5 Gy,γ-rays,T-lymphoid cell line,24 h
CA9,768,,5 Gy,γ-rays,T-lymphoid cell line,3 h
CA9,768,,5 Gy,γ-rays,T-lymphoid cell line,48 h
CA9,768,,5 Gy,γ-rays,T-lymphoid cell line,6 h
NMNAT2,23057,,9 Gy,protons,breast adenocarcinoma cells,24 h
CD38,952,,5 Gy,γ-rays,T-lymphoid cell line,12 h
CD38,952,,5 Gy,γ-rays,T-lymphoid cell line,24 h
CD38,952,,5 Gy,γ-rays,T-lymphoid cell line,48 h
TNFAIP3,7128,NF-kappa B signaling pathway,8 Gy,X-rays,pancreatic cancer cell line,4 h
H4C15,554313,,9 Gy,protons,TNBC cell line,24 h
H4C2,8366,,9 Gy,protons,TNBC cell line,24 h
H4C8,8365,,9 Gy,protons,TNBC cell line,24 h
H4C11,8363,,9 Gy,protons,TNBC cell line,24 h
H4C12,8362,,9 Gy,protons,TNBC cell line,24 h
H4C6,8361,,9 Gy,protons,TNBC cell line,24 h
H4C4,8360,,9 Gy,protons,TNBC cell line,24 h
H4C9,8294,,9 Gy,protons,TNBC cell line,24 h
GALR2,8811,,5 Gy,γ-rays,T-lymphoid cell line,12 h
GALR2,8811,,5 Gy,γ-rays,T-lymphoid cell line,24 h
GALR2,8811,,5 Gy,γ-rays,T-lymphoid cell line,3 h
GALR2,8811,,5 Gy,γ-rays,T-lymphoid cell line,48 h
GALR2,8811,,5 Gy,γ-rays,T-lymphoid cell line,6 h
PTGER4,5734,,5 Gy,γ-rays,T-lymphoid cell line,12 h
PTGER4,5734,,5 Gy,γ-rays,T-lymphoid cell line,24 h
PTGER4,5734,,5 Gy,γ-rays,T-lymphoid cell line,3 h
PTGER4,5734,,5 Gy,γ-rays,T-lymphoid cell line,48 h
PTGER4,5734,,5 Gy,γ-rays,T-lymphoid cell line,6 h
GZMA,3001,,5 Gy,γ-rays,T-lymphoid cell line,12 h
GZMA,3001,,5 Gy,γ-rays,T-lymphoid cell line,24 h
GZMA,3001,,5 Gy,γ-rays,T-lymphoid cell line,3 h
GZMA,3001,,5 Gy,γ-rays,T-lymphoid cell line,48 h
GZMA,3001,,5 Gy,γ-rays,T-lymphoid cell line,6 h
PRLHR,2834,,9 Gy,protons,breast adenocarcinoma cells,24 h
GNRH1,2796,,5 Gy,γ-rays,T-lymphoid cell line,12 h
GNRH1,2796,,5 Gy,γ-rays,T-lymphoid cell line,24 h
GNRH1,2796,,5 Gy,γ-rays,T-lymphoid cell line,3 h
GNRH1,2796,,5 Gy,γ-rays,T-lymphoid cell line,48 h
GNRH1,2796,,5 Gy,γ-rays,T-lymphoid cell line,6 h
SLC1A3,6507,,5 Gy,γ-rays,T-lymphoid cell line,12 h
SLC1A3,6507,,5 Gy,γ-rays,T-lymphoid cell line,24 h
SLC1A3,6507,,5 Gy,γ-rays,T-lymphoid cell line,3 h
SLC1A3,6507,,5 Gy,γ-rays,T-lymphoid cell line,48 h
SLC1A3,6507,,5 Gy,γ-rays,T-lymphoid cell line,6 h
FZD4,8322,mTOR signaling pathway,9 Gy,protons,TNBC cell line,24 h
FUS,2521,,5 Gy,γ-rays,T-lymphoid cell line,12 h
FUS,2521,,5 Gy,γ-rays,T-lymphoid cell line,24 h
FUS,2521,,5 Gy,γ-rays,T-lymphoid cell line,3 h
FUS,2521,,5 Gy,γ-rays,T-lymphoid cell line,48 h
FUS,2521,,5 Gy,γ-rays,T-lymphoid cell line,6 h
MYO3B,140469,,5 Gy,γ-rays,T-lymphoid cell line,12 h
MYO3B,140469,,5 Gy,γ-rays,T-lymphoid cell line,24 h
MYO3B,140469,,5 Gy,γ-rays,T-lymphoid cell line,3 h
MYO3B,140469,,5 Gy,γ-rays,T-lymphoid cell line,48 h
MYO3B,140469,,5 Gy,γ-rays,T-lymphoid cell line,6 h
DNAI3,126820,,9 Gy,protons,breast adenocarcinoma cells,24 h
MYH15,22989,,9 Gy,protons,TNBC cell line,24 h
DNAH17,8632,,5 Gy,γ-rays,T-lymphoid cell line,12 h
DNAH17,8632,,5 Gy,γ-rays,T-lymphoid cell line,24 h
DNAH17,8632,,5 Gy,γ-rays,T-lymphoid cell line,3 h
DNAH17,8632,,5 Gy,γ-rays,T-lymphoid cell line,48 h
DNAH17,8632,,5 Gy,γ-rays,T-lymphoid cell line,6 h
MYH3,4621,,5 Gy,γ-rays,T-lymphoid cell line,12 h
MYH3,4621,,5 Gy,γ-rays,T-lymphoid cell line,24 h
MYH3,4621,,5 Gy,γ-rays,T-lymphoid cell line,3 h
MYH3,4621,,5 Gy,γ-rays,T-lymphoid cell line,48 h
MYH3,4621,,5 Gy,γ-rays,T-lymphoid cell line,6 h
MAP1LC3C,440738,,9 Gy,protons,TNBC cell line,24 h
MT2A,4502,,5 Gy,γ-rays,T-lymphoid cell line,12 h
MT2A,4502,,5 Gy,γ-rays,T-lymphoid cell line,24 h
MT2A,4502,,5 Gy,γ-rays,T-lymphoid cell line,3 h
MT2A,4502,,5 Gy,γ-rays,T-lymphoid cell line,48 h
MT2A,4502,,5 Gy,γ-rays,T-lymphoid cell line,6 h
MT1X,4501,,5 Gy,γ-rays,T-lymphoid cell line,12 h
MT1X,4501,,5 Gy,γ-rays,T-lymphoid cell line,24 h
MT1X,4501,,5 Gy,γ-rays,T-lymphoid cell line,3 h
MT1X,4501,,5 Gy,γ-rays,T-lymphoid cell line,48 h
MT1X,4501,,5 Gy,γ-rays,T-lymphoid cell line,6 h
MT1H,4496,,5 Gy,γ-rays,T-lymphoid cell line,12 h
MT1H,4496,,5 Gy,γ-rays,T-lymphoid cell line,24 h
MT1H,4496,,5 Gy,γ-rays,T-lymphoid cell line,3 h
MT1H,4496,,5 Gy,γ-rays,T-lymphoid cell line,48 h
MT1H,4496,,5 Gy,γ-rays,T-lymphoid cell line,6 h
MT1G,4495,,5 Gy,γ-rays,T-lymphoid cell line,12 h
MT1G,4495,,5 Gy,γ-rays,T-lymphoid cell line,24 h
MT1G,4495,,5 Gy,γ-rays,T-lymphoid cell line,3 h
MT1G,4495,,5 Gy,γ-rays,T-lymphoid cell line,48 h
MT1G,4495,,5 Gy,γ-rays,T-lymphoid cell line,6 h
MT1F,4494,,5 Gy,γ-rays,T-lymphoid cell line,12 h
MT1F,4494,,5 Gy,γ-rays,T-lymphoid cell line,24 h
MT1F,4494,,5 Gy,γ-rays,T-lymphoid cell line,3 h
MT1F,4494,,5 Gy,γ-rays,T-lymphoid cell line,48 h
MT1F,4494,,5 Gy,γ-rays,T-lymphoid cell line,6 h
MT1E,4493,,5 Gy,γ-rays,T-lymphoid cell line,12 h
MT1E,4493,,5 Gy,γ-rays,T-lymphoid cell line,24 h
MT1E,4493,,5 Gy,γ-rays,T-lymphoid cell line,3 h
MT1E,4493,,5 Gy,γ-rays,T-lymphoid cell line,48 h
MT1E,4493,,5 Gy,γ-rays,T-lymphoid cell line,6 h
MT1A,4489,,5 Gy,γ-rays,T-lymphoid cell line,12 h
MT1A,4489,,5 Gy,γ-rays,T-lymphoid cell line,24 h
MT1A,4489,,5 Gy,γ-rays,T-lymphoid cell line,3 h
MT1A,4489,,5 Gy,γ-rays,T-lymphoid cell line,48 h
MT1A,4489,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ZEB2,9839,,9 Gy,protons,TNBC cell line,24 h
TAOK1,57551,MAPK signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,12 h
TAOK1,57551,MAPK signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,24 h
TAOK1,57551,MAPK signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,3 h
TAOK1,57551,MAPK signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,48 h
TAOK1,57551,MAPK signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,6 h
GADD45B,4616,MAPK signaling pathway,8 Gy,X-rays,pancreatic cancer cell line,4 h
NR4A1,3164,MAPK signaling pathway,8 Gy,X-rays,pancreatic cancer cell line,4 h
NR4A1,3164,MAPK signaling pathway,9 Gy,protons,TNBC cell line,24 h
EPHA2,1969,MAPK signaling pathway,9 Gy,protons,breast adenocarcinoma cells,24 h
DDIT3,1649,MAPK signaling pathway,8 Gy,X-rays,pancreatic cancer cell line,4 h
GADD45A,1647,MAPK signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,12 h
GADD45A,1647,MAPK signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,24 h
GADD45A,1647,MAPK signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,3 h
GADD45A,1647,MAPK signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,48 h
GADD45A,1647,MAPK signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,6 h
GADD45A,1647,MAPK signaling pathway,9 Gy,protons,breast adenocarcinoma cells,24 h
SLC17A5,26503,,5 Gy,γ-rays,T-lymphoid cell line,12 h
SLC17A5,26503,,5 Gy,γ-rays,T-lymphoid cell line,24 h
SLC17A5,26503,,5 Gy,γ-rays,T-lymphoid cell line,3 h
SLC17A5,26503,,5 Gy,γ-rays,T-lymphoid cell line,48 h
SLC17A5,26503,,5 Gy,γ-rays,T-lymphoid cell line,6 h
LAPTM5,7805,,9 Gy,protons,breast adenocarcinoma cells,24 h
HYKK,123688,,5 Gy,γ-rays,T-lymphoid cell line,12 h
HYKK,123688,,5 Gy,γ-rays,T-lymphoid cell line,24 h
HYKK,123688,,5 Gy,γ-rays,T-lymphoid cell line,3 h
HYKK,123688,,5 Gy,γ-rays,T-lymphoid cell line,48 h
HYKK,123688,,5 Gy,γ-rays,T-lymphoid cell line,6 h
NSD1,64324,,5 Gy,γ-rays,T-lymphoid cell line,12 h
NSD1,64324,,5 Gy,γ-rays,T-lymphoid cell line,24 h
NSD1,64324,,5 Gy,γ-rays,T-lymphoid cell line,3 h
NSD1,64324,,5 Gy,γ-rays,T-lymphoid cell line,48 h
NSD1,64324,,5 Gy,γ-rays,T-lymphoid cell line,6 h
OCRL,4952,,9 Gy,protons,TNBC cell line,24 h
ITPKB,3707,,9 Gy,protons,breast adenocarcinoma cells,24 h
INPP5D,3635,,9 Gy,protons,breast adenocarcinoma cells,24 h
SH2D1B,117157,,9 Gy,protons,TNBC cell line,24 h
MSN,4478,,9 Gy,protons,TNBC cell line,24 h
ITGAX,3687,,9 Gy,protons,breast adenocarcinoma cells,24 h
ZFP36,7538,,8 Gy,X-rays,pancreatic cancer cell line,4 h
HES2,54626,,9 Gy,protons,breast adenocarcinoma cells,24 h
SLC16A2,6567,,9 Gy,protons,TNBC cell line,24 h
FTCD,10841,,9 Gy,protons,TNBC cell line,24 h
